"name","followers","popularity","genres","uri","url","image"
"SG Lewis","281509","68","alternative r&b| indie soul| new french touch| uk dance| vapor soul","spotify:artist:0GG2cWaonE4JPrjcCCQ1EG","https://open.spotify.com/artist/0GG2cWaonE4JPrjcCCQ1EG","https://i.scdn.co/image/ab6761610000e5eb620416422188771ced3bb532"
"Shaggy","1694387","76","pop rap| reggae fusion","spotify:artist:5EvFsr3kj42KNv97ZEnqij","https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij","https://i.scdn.co/image/ab6761610000e5eb4f49b447350fa63936242776"
"Ship Wrek","44874","57","bass house| electro house","spotify:artist:1ic0FHNGIjXZAWH6O6Reif","https://open.spotify.com/artist/1ic0FHNGIjXZAWH6O6Reif","https://i.scdn.co/image/ab6761610000e5eb98170a22353d3b9987d26031"
"Solardo","96665","59","deep groove house| deep house| house| uk dance","spotify:artist:0oO1IaDOBSeI96HbnCa5pZ","https://open.spotify.com/artist/0oO1IaDOBSeI96HbnCa5pZ","https://i.scdn.co/image/ab6761610000e5eba12ea565bab7b1894421e798"
"Sonny Fodera","121096","70","brazilian edm| dance pop| deep groove house| edm| house| pop dance| tropical house| uk dance","spotify:artist:39B7ChWwrWDs7zXlsu3MoP","https://open.spotify.com/artist/39B7ChWwrWDs7zXlsu3MoP","https://i.scdn.co/image/ab6761610000e5ebe03987a142f6ba53d230a58c"
"Sylvan Esso","488423","64","art pop| electropop| etherpop| indie pop| indie rock","spotify:artist:39vA9YljbnOApXKniLWBZv","https://open.spotify.com/artist/39vA9YljbnOApXKniLWBZv","https://i.scdn.co/image/ab6761610000e5ebc150de235bbd28aafa52e318"
"Tai Verdes","508959","76","modern indie pop","spotify:artist:2kCO8LXN1usaOPL3iEE28I","https://open.spotify.com/artist/2kCO8LXN1usaOPL3iEE28I","https://i.scdn.co/image/ab6761610000e5eb9547a7f6ccaba5f5b816cc09"
"THE BLSSM","14179","44","modern alternative pop","spotify:artist:7lq7hz0Z6rG6v9zbJRRn4K","https://open.spotify.com/artist/7lq7hz0Z6rG6v9zbJRRn4K","https://i.scdn.co/image/ab6761610000e5eb23c711faf2d06f851fd7a479"
"The Soul Juice Band","339","5","","spotify:artist:2iGKEK8SC93nhaTOAl7Pcz","https://open.spotify.com/artist/2iGKEK8SC93nhaTOAl7Pcz","https://i.scdn.co/image/ab6761610000e5eb0ef6f74dab2774ab43b09328"
"TIBASKO","4691","42","","spotify:artist:6xq7g0E52yq4y8Op9X82Uo","https://open.spotify.com/artist/6xq7g0E52yq4y8Op9X82Uo","https://i.scdn.co/image/ab6761610000e5eb6d13876f85c08c246e528f55"
"Tre' Amani","3450","39","","spotify:artist:48Py72qV4J4hzvJXXRDNz0","https://open.spotify.com/artist/48Py72qV4J4hzvJXXRDNz0","https://i.scdn.co/image/ab6761610000e5ebf4fb5750878181902dc75200"
"Valley","137876","65","electropop| indie poptimism| indietronica| pop","spotify:artist:7blXVKBSxdFZsIqlhdViKc","https://open.spotify.com/artist/7blXVKBSxdFZsIqlhdViKc","https://i.scdn.co/image/ab6761610000e5eb54a46c8d71d7bdebb2f219e4"
"Walker & Royce","45107","48","bass house| deep disco house| edm| electro house| house","spotify:artist:1lAwVq9MxNJkB0dEY6xNoV","https://open.spotify.com/artist/1lAwVq9MxNJkB0dEY6xNoV","https://i.scdn.co/image/ab6761610000e5eb0f12dd6de9cc96890181011a"
"Wet Leg","145481","62","","spotify:artist:2TwOrUcYnAlIiKmVQkkoSZ","https://open.spotify.com/artist/2TwOrUcYnAlIiKmVQkkoSZ","https://i.scdn.co/image/ab6761610000e5eb9d1c017f36dc2f651d7f1685"
"Young Nudy","858265","74","hip hop| pluggnb| rap| trap| vapor trap","spotify:artist:5yPzzu25VzEk8qrGTLIrE1","https://open.spotify.com/artist/5yPzzu25VzEk8qrGTLIrE1","https://i.scdn.co/image/ab6761610000e5eb2ffacaa8c07b9a678b73b6ef"
