"name","followers","popularity","genres","uri","url","image"
"A-Trak","120412","66","canadian electronic| edm| electro house| turntablism","spotify:artist:3TaUSUXn41GixL7zbvrIDt","https://open.spotify.com/artist/3TaUSUXn41GixL7zbvrIDt","https://i.scdn.co/image/ab6761610000e5eb75434c7917ba4d75e025f5e2"
"A.M.C","24408","46","bass house| drum and bass| jump up","spotify:artist:5DygptUY6coQHpmgFfISzQ","https://open.spotify.com/artist/5DygptUY6coQHpmgFfISzQ","https://i.scdn.co/image/ab6761610000e5ebb9639c4071d917787a3ed6e7"
"Adam Beyer","263802","52","dark techno| minimal techno| raw techno| schranz| swedish electronic| swedish techno| techno","spotify:artist:1btv9qmIpbp7q1ixCYNdHu","https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","https://i.scdn.co/image/ab6761610000e5ebe91f9b9a5ee593b2d5f77032"
"Alok","11236728","84","electro house| pop nacional| slap house","spotify:artist:0NGAZxHanS9e0iNHpR8f2W","https://open.spotify.com/artist/0NGAZxHanS9e0iNHpR8f2W","https://i.scdn.co/image/ab6761610000e5eb83c76c9545193b431a44a8f6"
"Andrew Rayel","148986","59","edm| moldovan pop| pop dance| progressive house| trance| uplifting trance","spotify:artist:1UtBjqMZBAmqIPlDrKu7Tr","https://open.spotify.com/artist/1UtBjqMZBAmqIPlDrKu7Tr","https://i.scdn.co/image/ab6761610000e5eb13bdeaa329767db2d03db7fb"
"Anfisa Letyago","50866","45","","spotify:artist:7icoOm5fKKPo49jVxoj1Cq","https://open.spotify.com/artist/7icoOm5fKKPo49jVxoj1Cq","https://i.scdn.co/image/ab6761610000e5ebfa3fce29b9e610cbf3993b72"
"Armin van Buuren","4080038","77","dutch trance| edm| pop dance| progressive house| trance","spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5","https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5","https://i.scdn.co/image/ab6761610000e5ebefeb80bd23b299d413c04d8f"
"ATB","328476","71","german dance| german techno| german trance| trance","spotify:artist:7jZM5w05mGhw6wTB1okhD9","https://open.spotify.com/artist/7jZM5w05mGhw6wTB1okhD9","https://i.scdn.co/image/ab6761610000e5eb15138758778e007bd8fac97c"
"atDusk","51","29","","spotify:artist:0PRVC5bRZEJh0r9XNRW4n4","https://open.spotify.com/artist/0PRVC5bRZEJh0r9XNRW4n4","https://i.scdn.co/image/ab6761610000e5eb70cb61d61914a2315597a946"
"ATLiens","57531","49","dubstep| electronic trap","spotify:artist:74RET4rCZPTGzhsLjD0i3g","https://open.spotify.com/artist/74RET4rCZPTGzhsLjD0i3g","https://i.scdn.co/image/ab6761610000e5eb6c79c9bcb0e73ad137560a6c"
"Avision","14079","31","dark disco","spotify:artist:25L7U77b5R5fO5pRjDP1Cj","https://open.spotify.com/artist/25L7U77b5R5fO5pRjDP1Cj","https://i.scdn.co/image/ab6761610000e5eb0454ecd91a9055e21d206baf"
"Ben Nicky","60259","57","hard trance","spotify:artist:3Bd1phrOZJuCev9U0bzdtA","https://open.spotify.com/artist/3Bd1phrOZJuCev9U0bzdtA","https://i.scdn.co/image/ab6761610000e5eb7e270ab02ee3b95cad7e6a12"
"BIJOU","32357","53","bass house| edm| electro house","spotify:artist:3abRKajGbb3kLMy9AWzfMA","https://open.spotify.com/artist/3abRKajGbb3kLMy9AWzfMA","https://i.scdn.co/image/ab6761610000e5eb9c1d7bf888302111b8900f37"
"Boogie T","62497","51","dubstep| electronic trap","spotify:artist:4zlw0jXUzd4dRcqI3Y1OiY","https://open.spotify.com/artist/4zlw0jXUzd4dRcqI3Y1OiY","https://i.scdn.co/image/ab6761610000e5eb8c83e89c5ca473c7d13386f7"
"Coco & Breezy","3012","42","soulful house","spotify:artist:0Adbm5kzcPUxFybf9fhjgG","https://open.spotify.com/artist/0Adbm5kzcPUxFybf9fhjgG","https://i.scdn.co/image/ab6761610000e5eb2b9bb48d2ac995c130c08354"
"Craze","3958","22","","spotify:artist:1CxiYuhxzUwYDPQSZw076D","https://open.spotify.com/artist/1CxiYuhxzUwYDPQSZw076D","https://i.scdn.co/image/ab6761610000e5eb73f729dab2cb923ef05b7e8b"
"D-Sturb","54450","60","classic hardstyle| frenchcore| rawstyle| xtra raw","spotify:artist:7E6DrjKJieOdJKO8mbwCMO","https://open.spotify.com/artist/7E6DrjKJieOdJKO8mbwCMO","https://i.scdn.co/image/ab6761610000e5eb018645dc0fdabdc3801fc138"
