"name","followers","popularity","genres","uri","url","image"
"Jauz","367301","64","bass house| brostep| edm| electro house| electronic trap| house| pop dance","spotify:artist:5ttgIeUVka6FLyi00Uu5h8","https://open.spotify.com/artist/5ttgIeUVka6FLyi00Uu5h8","https://i.scdn.co/image/ab6761610000e5eba6e40e1e9121683b7caa2f84"
"Joseph Capriati","151230","39","deep minimal techno| italian techno| minimal techno| tech house","spotify:artist:7onsqSWPufMm5ZnUCECDpf","https://open.spotify.com/artist/7onsqSWPufMm5ZnUCECDpf","https://i.scdn.co/image/ab6761610000e5ebf3b5d49167672ae324f9f27b"
"Joshwa","9067","60","bass house| deep groove house| house| uk tech house","spotify:artist:1PzAgFVk9v8cxn9flrqrv5","https://open.spotify.com/artist/1PzAgFVk9v8cxn9flrqrv5","https://i.scdn.co/image/ab6761610000e5ebe73f8886010f885bc27d2a79"
"Junkie Kid","17773","39","","spotify:artist:3CjPghA9sowRwFGSrU038J","https://open.spotify.com/artist/3CjPghA9sowRwFGSrU038J","https://i.scdn.co/image/ab6761610000e5eb123abfcaf9e26f58528362e0"
"Kasablanca","8285","54","progressive house","spotify:artist:297Z0teiCkp5s9eneWROpI","https://open.spotify.com/artist/297Z0teiCkp5s9eneWROpI","https://i.scdn.co/image/ab6761610000e5eb3b5936e91d8734499fbef8dc"
"Kaskade","876690","70","edm| electro house| pop dance| progressive house| vocal house","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","https://open.spotify.com/artist/6TQj5BFPooTa08A7pk8AQ1","https://i.scdn.co/image/ab6761610000e5ebc96f32c30b4c236b5b9c40fa"
"Kayzo","176753","62","brostep| dubstep| edm| electro house| electronic trap","spotify:artist:72iCiKwu6nu6Qq9emIwzYv","https://open.spotify.com/artist/72iCiKwu6nu6Qq9emIwzYv","https://i.scdn.co/image/ab6761610000e5eba791edded941e8acd62eb6bf"
"Khromata","222","1","","spotify:artist:4qZkbvcIR78hf7pxIAyYpi","https://open.spotify.com/artist/4qZkbvcIR78hf7pxIAyYpi","https://i.scdn.co/image/ab6761610000e5ebcd7e6bbd5bab97a2f3919542"
"Kompany","58207","51","dubstep| electro house| electronic trap| gaming dubstep| melodic dubstep","spotify:artist:7dtX3ykcuyVmts2HQnWgSP","https://open.spotify.com/artist/7dtX3ykcuyVmts2HQnWgSP","https://i.scdn.co/image/ab6761610000e5eb79bfdb5356ebd9716201f1a5"
"Koven","89709","60","chillstep| edm| electro house| gaming edm| melodic dubstep","spotify:artist:3UCbp6D1lvILlxRJT9LnFa","https://open.spotify.com/artist/3UCbp6D1lvILlxRJT9LnFa","https://i.scdn.co/image/ab6761610000e5eb2ea391350f25b01b6b7ca541"
"KREAM","194326","68","dance pop| deep house| edm| electro house| house| pop dance| pop edm| tropical house","spotify:artist:0DdDnziut7wOo6cAYWVZC5","https://open.spotify.com/artist/0DdDnziut7wOo6cAYWVZC5","https://i.scdn.co/image/ab6761610000e5ebb81a5f8e567a98dcf30fbc79"
"Lab Group","5813","35","","spotify:artist:4VSPQ1ufWQpHYbIIbRguSV","https://open.spotify.com/artist/4VSPQ1ufWQpHYbIIbRguSV","https://i.scdn.co/image/ab6761610000e5eb32d6257cff56fdcba91e8413"
"Lil Texas","25071","49","electronic trap","spotify:artist:76raIy8boaM9sf9gMGXGJ5","https://open.spotify.com/artist/76raIy8boaM9sf9gMGXGJ5","https://i.scdn.co/image/ab6761610000e5eb5f87f4ee7f06d5468d5cb29b"
"LINK","7288","27","","spotify:artist:20kaxHgwoxhckhw90pyRbb","https://open.spotify.com/artist/20kaxHgwoxhckhw90pyRbb","https://i.scdn.co/image/ab6761610000e5eb15d06626a8c2afd7d54f4322"
"LP Giobbi","16105","62","edm| electro house| house| pop dance","spotify:artist:3oKnyRhYWzNsTiss5n4Z1J","https://open.spotify.com/artist/3oKnyRhYWzNsTiss5n4Z1J","https://i.scdn.co/image/ab6761610000e5ebfa2e59e3fdeb6785382500b9"
"Majestic","40742","70","house| pop dance| uk dance","spotify:artist:6QMABvTzixnxzsLYyhqRxI","https://open.spotify.com/artist/6QMABvTzixnxzsLYyhqRxI","https://i.scdn.co/image/ab6761610000e5eb836556acb908b5dd89d6fe94"
"MARAUDA","49424","49","deathstep| dubstep| gaming dubstep","spotify:artist:3YLUvWzk9eBm1WrHFlZxM4","https://open.spotify.com/artist/3YLUvWzk9eBm1WrHFlZxM4","https://i.scdn.co/image/ab6761610000e5eb210b181aa4be49081035a18c"
"Matroda","63772","57","bass house| edm| electro house| house","spotify:artist:45lcbTsX07JWzmTIjcdyBz","https://open.spotify.com/artist/45lcbTsX07JWzmTIjcdyBz","https://i.scdn.co/image/ab6761610000e5ebd97ff71e2ba3e53294ab3f41"
"Matt Fax","19697","52","edm| progressive house| progressive trance","spotify:artist:1XgI1X3xjXCKRP1ZjhqgkV","https://open.spotify.com/artist/1XgI1X3xjXCKRP1ZjhqgkV","https://i.scdn.co/image/ab6761610000e5eb299fe340aaa93f3984e027a8"
"MC Dino","3246","16","","spotify:artist:3ahbiYXqT117xzig3dsRKU","https://open.spotify.com/artist/3ahbiYXqT117xzig3dsRKU","https://i.scdn.co/image/ab6761610000e5eba5b2c3d8bf7bd47abc5fc6b4"
"MitiS","129263","56","chillstep| edm| filthstep| future bass| melodic dubstep| pop dance| pop edm","spotify:artist:16yUpGkBRgc2eDMd3bB3Uw","https://open.spotify.com/artist/16yUpGkBRgc2eDMd3bB3Uw","https://i.scdn.co/image/ab6761610000e5eb1c21fddaef8781b528ede50c"
"MORTEN","68623","68","danish electronic| scandipop","spotify:artist:19HFRWmRCl27kTk6LeqAO8","https://open.spotify.com/artist/19HFRWmRCl27kTk6LeqAO8","https://i.scdn.co/image/ab6761610000e5eb28bb7ea8f027775a282f4be4"
"MUZZ","69558","56","brostep| chillstep| dancefloor dnb| edm| electro house| gaming edm","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","https://open.spotify.com/artist/4UNnRb4LN2hGtbtMfPzMhg","https://i.scdn.co/image/ab6761610000e5eb907487ab7f2f54efb99d57f8"
"Nightstalker","30706","36","greek metal| greek psychedelic rock| greek rock| retro metal| space rock| stoner metal| stoner rock","spotify:artist:4lypnrJxM8l7ZLtLVucEvk","https://open.spotify.com/artist/4lypnrJxM8l7ZLtLVucEvk","https://i.scdn.co/image/ab6761610000e5ebda0e4624a6f975252bd68cd7"
