"name","artist","artistPopularity","artistFollowers","popularity","topTrackOrder","uri","danceability","energy","speechiness","trackURL","trackPrev","artistURL","image"
"Do It To It","ACRAZE","78","55907","95","1","spotify:track:20on25jryn53hWghthWWW3","0.854","0.806","0.0886","https://open.spotify.com/track/20on25jryn53hWghthWWW3","nan","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Do It To It - Tiësto Remix","ACRAZE","78","55907","74","2","spotify:track:2XKsHHNCtKqk9cF35TRFyC","0.636","0.892","0.0386","https://open.spotify.com/track/2XKsHHNCtKqk9cF35TRFyC","nan","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Funky Town","ACRAZE","78","55907","65","3","spotify:track:1fKnpml7V0VImOFQA7XXyj","0.832","0.904","0.0493","https://open.spotify.com/track/1fKnpml7V0VImOFQA7XXyj","https://p.scdn.co/mp3-preview/3023c7dfc3050e1b32f15ed401b8b15efd278935?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Do It To It - Extended Mix","ACRAZE","78","55907","53","4","spotify:track:1mrLqRrZDI4DoFJeGhJ2O4","0.85","0.835","0.0941","https://open.spotify.com/track/1mrLqRrZDI4DoFJeGhJ2O4","nan","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Do It To It - Andrew Rayel Remix","ACRAZE","78","55907","50","5","spotify:track:47FkgO7LWJD8rBovCn41oI","0.644","0.931","0.0585","https://open.spotify.com/track/47FkgO7LWJD8rBovCn41oI","nan","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Bang Bang","ACRAZE","78","55907","48","6","spotify:track:1qQt85owTaCya2rQPb52Lv","0.811","0.941","0.144","https://open.spotify.com/track/1qQt85owTaCya2rQPb52Lv","https://p.scdn.co/mp3-preview/9e853c3c0ecfcee7a55bdc7a7572de0550c6f44e?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Marco Polo","ACRAZE","78","55907","48","7","spotify:track:4kMRdOsuzizHY5E1YjnukS","0.849","0.888","0.0605","https://open.spotify.com/track/4kMRdOsuzizHY5E1YjnukS","https://p.scdn.co/mp3-preview/211ff0d3a9ab0d3d9fe0069511350e6630f65bce?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Face Down","ACRAZE","78","55907","44","8","spotify:track:4xDFXt9dvJUxoyty2ahDHP","0.668","0.711","0.0475","https://open.spotify.com/track/4xDFXt9dvJUxoyty2ahDHP","https://p.scdn.co/mp3-preview/57e89c76e303503cd1e67aee6998e1cd9bc4c4cf?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Frequency 75 - ACRAZE Remix","ACRAZE","78","55907","44","9","spotify:track:0K7zCcV0eQUE0nKBxhODTe","0.739","0.75","0.101","https://open.spotify.com/track/0K7zCcV0eQUE0nKBxhODTe","nan","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
"Pull Up","ACRAZE","78","55907","43","10","spotify:track:1AOEl8c1HZLcqFI7S3ruar","0.658","0.958","0.0434","https://open.spotify.com/track/1AOEl8c1HZLcqFI7S3ruar","https://p.scdn.co/mp3-preview/a5024a932f619a147b017e4943062cfd05b3e0ac?cid=b161b04bc8624dbe92750da1368b73c0","https://open.spotify.com/artist/4pnp4w9g30yLfVIAFnZMRd","https://i.scdn.co/image/ab6761610000e5eb83a7cd2bafbc6e2c377f49cf"
